"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Spinerock Tyrant","R","M","1404","1.74","790","1.81","6530","88.1%","56.6%","1073","60.6%","1742","63.3%","2815","62.3%","3753","52.4%","9.9pp"
"Squawkroaster","R","U","26211","5.44","4027","7.41","12682","51.0%","50.7%","2104","49.0%","3399","52.6%","5503","51.2%","7083","49.9%","1.4pp"
"Sting-Slinger","R","U","25824","5.47","4089","7.28","15536","60.6%","52.6%","2662","49.3%","3682","53.4%","6344","51.7%","8969","53.0%","-1.3pp"
"Tweeze","R","C","57920","4.60","11509","5.96","58988","82.0%","53.8%","10280","52.5%","15465","55.8%","25745","54.5%","33251","53.2%","1.3pp"
"Warren Torchmaster","R","U","27226","5.67","4199","7.66","15079","57.7%","52.0%","2765","50.6%","3426","51.4%","6191","51.0%","8714","52.5%","-1.5pp"
"Assert Perfection","G","C","53168","4.13","13934","5.09","79295","88.6%","56.7%","13387","56.9%","19523","59.3%","32910","58.4%","46405","55.6%","2.8pp"
"Aurora Awakener","G","M","1426","1.76","922","1.78","6962","89.1%","54.0%","1205","55.9%","1834","63.6%","3039","60.5%","3879","48.9%","11.7pp"
"Bloom Tender","G","M","1839","2.08","755","2.23","4912","82.1%","52.5%","909","56.2%","1179","52.8%","2088","54.3%","2792","51.0%","3.2pp"
"Blossoming Defense","G","U","23339","4.65","4940","5.96","24990","80.4%","56.0%","4147","53.9%","5856","58.1%","10003","56.4%","14997","55.7%","0.6pp"
"Bristlebane Battler","G","R","2877","1.95","1476","2.06","11539","88.9%","56.7%","2134","64.5%","2767","56.8%","4901","60.2%","6530","54.0%","6.2pp"
"Bristlebane Outrider","G","U","21484","4.47","4547","5.61","21186","72.4%","56.3%","3653","56.2%","5170","58.7%","8823","57.7%","12191","55.1%","2.6pp"
"Celestial Reunion","G","M","3814","3.63","671","4.66","2060","46.4%","54.1%","325","","501","56.3%","826","55.2%","1235","53.4%","1.8pp"
