"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Keep Out","W","C","214784","5.29","28319","7.70","47298","68.4%","54.0%","8088","52.7%","11690","54.4%","19778","53.7%","27530","54.2%","-0.5pp"
"Kinbinding","W","R","8165","1.81","5141","1.84","15015","99.6%","59.9%","2573","66.1%","3904","68.2%","6477","67.3%","8598","54.4%","13.0pp"
"Kinsbaile Aspirant","W","U","64941","4.40","14182","5.26","4160","30.3%","51.9%","755","56.0%","991","48.9%","1746","52.0%","2395","51.8%","0.2pp"
"Kinscaer Sentry","W","R","11101","2.22","4567","2.39","11043","97.9%","56.3%","2046","61.9%","2669","56.4%","4715","58.8%","6337","54.3%","4.4pp"
"Kithkeeper","W","U","81943","5.27","14622","7.05","4479","29.0%","51.7%","785","47.6%","1150","55.3%","1935","52.2%","2537","51.2%","1.0pp"
"Liminal Hold","W","C","149736","3.75","37705","4.69","85224","97.0%","55.8%","14088","53.4%","21764","58.5%","35852","56.5%","49557","55.2%","1.3pp"
"Meanders Guide","W","U","66955","4.54","12513","5.85","49557","92.8%","55.1%","8614","53.9%","12240","55.4%","20854","54.8%","27804","54.9%","-0.2pp"
"Moonlit Lamenter","W","U","57223","3.90","13159","4.78","19373","76.5%","54.5%","3427","54.5%","4786","56.4%","8213","55.6%","11224","53.5%","2.1pp"
"Morningtide's Light","W","M","11233","3.38","2517","3.99","3804","75.4%","54.0%","598","49.2%","947","57.0%","1545","54.0%","2262","54.0%","0.0pp"
"Personify","W","U","77597","4.98","13001","6.73","21359","70.1%","55.3%","3489","53.9%","5289","56.8%","8778","55.7%","12586","55.1%","0.6pp"
"Protective Response","W","U","48192","3.31","14484","3.87","38313","98.7%","56.4%","6579","55.7%","9566","59.5%","16145","58.0%","22175","55.2%","2.8pp"
"Pyrrhic Strike","W","U","46723","3.22","15897","3.69","40041","98.7%","57.2%","6655","56.2%","10197","60.4%","16852","58.8%","23205","56.0%","2.8pp"
"Reluctant Dounguard","W","C","239624","6.20","28365","9.10","8291","21.1%","50.3%","1455","49.1%","1961","50.0%","3416","49.6%","4862","50.7%","-1.1pp"
"Rhys, the Evermore","W","R","13434","2.58","4440","2.84","9269","92.7%","53.7%","1614","53.5%","2263","53.8%","3877","53.7%","5395","53.8%","-0.1pp"
"Riverguard's Reflexes","W","C","268651","7.30","31314","10.69","19800","29.5%","53.3%","3240","50.7%","4726","54.1%","7966","52.7%","11842","53.7%","-1.0pp"
"Shore Lurker","W","C","248442","6.45","32023","9.26","72979","68.0%","54.3%","12359","52.5%","18147","55.5%","30506","54.3%","41193","53.9%","0.4pp"
"Slumbering Walker","W","R","10026","2.05","4996","2.16","14362","98.8%","58.1%","2368","59.9%","3709","64.2%","6077","62.5%","8325","54.9%","7.7pp"
"Spiral into Solitude","W","C","169596","4.16","35261","5.41","78111","94.2%","55.0%","13281","51.8%","19349","56.7%","32630","54.7%","45509","55.2%","-0.5pp"
"Sun-Dappled Celebrant","W","C","235301","5.91","31262","8.49","41690","58.8%","53.5%","6697","52.1%","10837","54.3%","17534","53.4%","24401","53.5%","-0.1pp"
"Thoughtweft Imbuer","W","U","57781","4.13","14433","4.80","5892","41.6%","53.2%","989","54.5%","1445","55.0%","2434","54.8%","3436","51.9%","2.9pp"
"Timid Shieldbearer","W","C","225698","5.64","36650","7.68","38296","59.4%","54.8%","6952","54.7%","9369","56.3%","16321","55.6%","21926","54.3%","1.3pp"
"Tributary Vaulter","W","C","241846","6.36","36036","8.71","126385","86.8%","55.7%","22070","55.1%","30405","55.9%","52475","55.6%","71658","55.5%","0.1pp"
"Wanderbrine Preacher","W","C","223648","5.55","38834","7.43","136978","94.2%","56.3%","24957","56.9%","32659","56.3%","57616","56.6%","77085","55.8%","0.8pp"
"Wanderbrine Trapper","W","U","55928","3.78","16877","4.36","64926","99.2%","57.7%","11750","63.0%","15712","58.3%","27462","60.3%","36263","55.4%","4.9pp"
"Winnowing","W","R","23997","3.97","4452","5.06","7252","70.1%","54.0%","1202","51.9%","1870","56.5%","3072","54.7%","4183","53.6%","1.1pp"
"Aquitect's Defenses","U","C","266890","7.19","34022","10.44","23716","31.4%","53.9%","4000","52.3%","5785","55.7%","9785","54.3%","13944","53.6%","0.7pp"
"Blossombind","U","C","187951","4.58","40190","5.98","90784","93.9%","55.9%","15534","53.6%","22459","57.4%","37993","55.9%","52818","55.9%","-0.0pp"
"Champions of the Shoal","U","R","12425","2.58","5133","2.80","28508","99.9%","58.7%","5048","62.9%","7498","64.2%","12546","63.6%","15346","53.7%","10.0pp"
"Disruptor of Currents","U","R","11896","2.31","5800","2.50","21940","99.9%","58.3%","3734","61.4%","5397","63.3%","9131","62.5%","12203","54.3%","8.2pp"
"Flitterwing Nuisance","U","R","11654","2.36","5481","2.53","15652","99.2%","57.6%","2893","64.7%","4003","59.7%","6896","61.8%","8803","54.3%","7.4pp"
"Glamer Gifter","U","U","60554","3.99","16502","4.81","40172","94.2%","56.7%","7076","56.6%","10005","59.4%","17081","58.2%","23102","55.6%","2.6pp"
"Glamermite","U","C","251840","6.56","33898","9.46","31884","41.7%","53.5%","5584","52.7%","7878","55.8%","13462","54.5%","18448","52.8%","1.8pp"
"Glen Elendra Guardian","U","R","12416","2.38","5500","2.57","13665","98.5%","56.3%","2427","56.9%","3427","58.3%","5854","57.7%","7843","55.3%","2.4pp"
"Glen Elendra's Answer","U","M","14507","3.89","3827","4.60","7123","80.8%","56.4%","1115","57.3%","1770","60.9%","2885","59.5%","4238","54.3%","5.2pp"
"Gravelgill Scoundrel","U","C","240001","6.33","39801","8.48","139065","90.0%","56.2%","25508","56.9%","33286","55.9%","58794","56.3%","77955","55.9%","0.5pp"
"Harmonized Crescendo","U","R","23091","3.85","5068","4.79","12697","86.7%","55.3%","2046","53.4%","3151","57.4%","5197","55.9%","7505","55.0%","0.9pp"
"Illusion Spinners","U","U","90477","5.95","11866","8.54","6742","30.9%","50.3%","1071","48.0%","1703","52.5%","2774","50.8%","3987","50.0%","0.7pp"
"Kulrath Mystic","U","C","262931","7.09","36731","10.03","6025","12.4%","51.5%","1105","49.8%","1555","50.9%","2660","50.4%","3360","52.4%","-2.0pp"
"Loch Mare","U","M","4486","1.71","2902","1.78","8328","100.0%","58.7%","1432","62.8%","2144","62.6%","3576","62.7%","4786","55.8%","6.9pp"
"Lofty Dreams","U","U","79676","5.15","14910","6.75","32478","78.6%","55.5%","5330","53.1%","8162","58.7%","13492","56.5%","19010","54.7%","1.8pp"
"Mirrorform","U","M","9873","3.19","3065","3.53","6448","87.1%","55.9%","1090","53.4%","1643","61.8%","2733","58.4%","3719","54.0%","4.5pp"
