"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"End-Blaze Epiphany","R","R","15985","2.57","7380","2.75","2288","100.0%","54.8%","377","","565","59.6%","942","59.2%","1347","51.7%","7.5pp"
"Enraged Flamecaster","R","C","287148","6.63","36525","9.57","3260","42.4%","50.1%","621","47.3%","758","50.3%","1379","48.9%","1872","51.0%","-2.0pp"
"Explosive Prodigy","R","U","60632","3.58","20393","4.11","4424","92.8%","53.7%","800","55.3%","1129","57.3%","1929","56.5%","2470","51.4%","5.0pp"
"Feed the Flames","R","C","225073","4.84","43475","6.36","10318","89.7%","51.3%","1728","50.6%","2596","54.3%","4324","52.8%","5995","50.3%","2.5pp"
"Flame-Chain Mauler","R","C","290320","6.61","43114","9.21","8340","72.6%","50.7%","1432","48.5%","1952","50.7%","3384","49.8%","4918","51.3%","-1.5pp"
"Flamebraider","R","U","65590","3.97","20098","4.54","3335","84.2%","53.8%","624","57.2%","828","51.0%","1452","53.7%","1861","53.9%","-0.2pp"
"Flamekin Gildweaver","R","C","268070","5.93","49494","7.76","8755","76.8%","52.6%","1537","52.6%","2235","54.9%","3772","54.0%","4944","51.4%","2.6pp"
"Giantfall","R","U","85838","4.79","14897","6.33","3691","80.8%","50.6%","556","47.7%","915","51.7%","1471","50.2%","2221","50.9%","-0.7pp"
"Goatnap","R","U","123230","7.45","13526","11.10","333","12.7%","","50","","72","","122","","211","",""
"Goliath Daydreamer","R","R","15956","2.66","6180","2.91","2503","95.6%","51.5%","411","","614","56.2%","1025","54.3%","1493","49.5%","4.8pp"
"Gristle Glutton","R","C","282846","6.40","47311","8.58","10138","78.9%","51.6%","1820","52.9%","2462","53.7%","4282","53.4%","5841","50.3%","3.1pp"
"Hexing Squelcher","R","R","21289","3.22","4403","4.07","1398","93.7%","50.1%","249","","318","","567","51.7%","831","49.1%","2.6pp"
"Impolite Entrance","R","U","121419","7.23","13656","10.69","840","27.3%","45.1%","148","","183","","331","","509","49.5%",""
"Kindle the Inner Flame","R","U","108329","6.30","16922","8.53","843","30.4%","49.0%","133","","197","","330","","507","50.5%",""
"Kulrath Zealot","R","C","247381","5.36","50804","6.90","10706","86.3%","53.3%","1885","53.3%","2631","56.0%","4516","54.9%","6146","51.9%","3.0pp"
"Lasting Tarfire","R","U","110179","6.61","14583","9.31","975","38.1%","45.4%","156","","245","","401","","575","45.6%",""
"Lavaleaper","R","R","41010","5.36","5003","8.31","305","30.0%","","46","","74","","120","","182","",""
"Meek Attack","R","M","25038","5.49","3173","8.41","9","","","2","","2","","4","","5","",""
"Reckless Ransacking","R","C","316187","7.83","35525","11.47","2139","26.3%","50.0%","374","","496","","870","52.5%","1269","48.3%","4.2pp"
"Scuzzback Scrounger","R","R","20288","3.11","6096","3.59","2108","98.5%","51.4%","346","","506","52.8%","852","54.2%","1255","49.6%","4.7pp"
"Sear","R","U","48828","2.94","17565","3.39","5593","99.8%","51.8%","1005","53.0%","1371","56.2%","2376","54.9%","3217","49.5%","5.4pp"
"Sizzling Changeling","R","U","76357","4.22","17877","5.25","5517","97.2%","53.1%","938","51.1%","1403","54.5%","2341","53.1%","3142","53.0%","0.1pp"
"Soul Immolation","R","M","6940","2.23","3714","2.31","1455","99.3%","55.7%","271","","359","","630","62.4%","825","50.7%","11.7pp"
"Soulbright Seeker","R","U","94317","5.35","17478","6.97","2439","69.0%","51.4%","385","","596","51.0%","981","51.4%","1443","51.6%","-0.2pp"
"Sourbread Auntie","R","U","85278","4.95","16477","6.31","3668","79.2%","52.0%","643","53.7%","946","52.4%","1589","52.9%","2068","51.3%","1.6pp"
"Spinerock Tyrant","R","M","5278","1.76","2953","1.82","1267","100.0%","55.2%","243","","346","","589","61.5%","699","49.6%","11.8pp"
"Squawkroaster","R","U","97594","5.48","14383","7.63","1836","58.1%","52.7%","312","","457","","769","54.1%","1067","51.5%","2.6pp"
"Sting-Slinger","R","U","98646","5.63","15105","7.68","3568","78.3%","50.0%","592","46.6%","851","53.2%","1443","50.5%","2130","49.6%","0.9pp"
"Tweeze","R","C","209824","4.52","43284","5.87","12251","95.0%","52.3%","2108","53.2%","2944","52.7%","5052","52.9%","7199","51.9%","1.0pp"
"Warren Torchmaster","R","U","104106","5.94","14866","8.25","3012","70.1%","51.2%","530","45.8%","717","54.5%","1247","50.8%","1765","51.5%","-0.7pp"
"Assert Perfection","G","C","181711","3.89","50475","4.78","42","4.6%","","11","","3","","14","","28","",""
"Aurora Awakener","G","M","5125","1.71","3372","1.72","145","","","37","","36","","73","","72","",""
"Bloom Tender","G","M","7556","2.20","2885","2.38","5","","","0","","1","","1","","4","",""
"Blossoming Defense","G","U","86224","4.61","17028","6.05","0","","","0","","0","","0","","0","",""
"Bristlebane Battler","G","R","10663","1.97","5333","2.09","75","","","13","","18","","31","","44","",""
"Bristlebane Outrider","G","U","77750","4.36","16260","5.52","6","1.2%","","0","","1","","1","","5","",""
"Celestial Reunion","G","M","15327","3.73","2737","4.83","3","","","0","","2","","2","","1","",""
"Champions of the Perfect","G","R","10685","2.02","5290","2.13","18","","","9","","4","","13","","6","",""
"Chomping Changeling","G","U","89928","4.85","12357","6.91","30","","","7","","6","","13","","17","",""
"Crossroads Watcher","G","C","270869","5.86","41430","8.14","11","0.7%","","0","","5","","5","","6","",""
"Dawn's Light Archer","G","C","277751","5.97","41499","8.42","0","0.0%","","0","","0","","0","","0","",""
"Dundoolin Weaver","G","U","61033","3.48","18199","4.15","43","8.0%","","3","","13","","16","","27","",""
"Formidable Speaker","G","R","10973","2.00","5412","2.13","9","","","0","","0","","0","","9","",""
"Gilt-Leaf's Embrace","G","C","300223","6.71","39859","9.63","0","0.0%","","0","","0","","0","","0","",""
"Great Forest Druid","G","C","225729","4.82","39106","6.49","36","3.1%","","8","","9","","17","","19","",""
"Luminollusk","G","U","103983","5.63","14642","8.04","80","11.7%","","7","","29","","36","","44","",""
"Lys Alana Dignitary","G","U","70429","4.05","18084","4.85","0","","","0","","0","","0","","0","",""
