"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Vinebred Brawler","G","U","70864","4.61","13964","5.92","70053","77.5%","55.6%","11997","55.1%","16266","56.6%","28263","56.0%","40792","55.2%","0.7pp"
"Virulent Emissary","G","U","50521","3.37","15256","3.97","91391","88.7%","56.5%","16611","59.1%","20965","57.5%","37576","58.2%","52598","55.2%","3.1pp"
"Wildvine Pummeler","G","C","237649","5.80","32323","8.43","97385","48.3%","50.3%","16007","48.4%","25837","54.2%","41844","52.0%","55791","49.1%","2.9pp"
"Abigale, Eloquent First-Year","WB","R","7805","1.67","4948","1.72","38532","92.6%","55.4%","6708","55.6%","9514","60.4%","16222","58.4%","22190","53.1%","5.4pp"
"Ashling's Command","UR","R","11734","2.40","6037","2.48","45197","85.9%","58.7%","7727","63.2%","12703","68.0%","20430","66.2%","23649","51.4%","14.8pp"
"Boggart Cursecrafter","BR","U","62813","4.42","13517","5.31","63052","71.5%","54.6%","11004","57.6%","15353","56.5%","26357","57.0%","34869","52.2%","4.8pp"
"Bre of Clan Stoutarm","WR","R","13250","2.66","4845","2.88","26357","72.5%","51.9%","4466","53.6%","7167","56.9%","11633","55.6%","14824","49.0%","6.6pp"
"Brigid's Command","WG","R","14708","2.84","4857","3.21","29048","72.6%","56.4%","4969","58.7%","6856","61.0%","11825","60.1%","16560","53.1%","6.9pp"
"Catharsis","WR","M","5750","2.05","2357","2.16","14143","77.6%","51.6%","2403","49.4%","3656","55.6%","6059","53.1%","7945","50.2%","2.9pp"
"Chaos Spewer","BR","C","249446","6.53","30045","9.51","74687","39.9%","50.7%","13122","48.9%","18523","51.9%","31645","50.7%","42172","50.5%","0.2pp"
"Chitinous Graspling","UG","C","246803","5.82","33654","8.61","97696","45.9%","51.5%","16468","48.5%","24866","52.4%","41334","50.9%","55089","51.5%","-0.6pp"
"Deceit","UB","M","4570","1.73","2761","1.77","20478","87.0%","54.6%","3439","54.6%","5391","61.0%","8830","58.5%","11446","51.3%","7.2pp"
"Deepchannel Duelist","WU","U","50764","3.72","15799","4.15","92185","80.6%","58.5%","16563","63.6%","22991","62.6%","39554","63.0%","50128","54.3%","8.7pp"
"Deepway Navigator","WU","R","18512","3.36","5250","3.91","29304","74.6%","55.5%","5171","56.5%","7133","56.3%","12304","56.4%","16373","54.4%","1.9pp"
