"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Koma, Cosmos Serpent","UG","M","342","","161","","1085","79.7%","57.7%","201","","333","","534","66.5%","560","49.6%","16.8pp"
"Rhys the Redeemed","WG","M","418","","158","","997","86.9%","57.2%","192","","247","","439","","558","55.9%",""
"Cityscape Leveler","","M","353","","156","","1155","87.8%","59.0%","189","","318","","507","65.9%","648","53.9%","12.0pp"
"Meteorite","","M","1035","5.69","119","","94","12.0%","","11","","27","","38","","55","",""
"Sundial of the Infinite","","M","1180","6.70","140","","9","1.0%","","1","","2","","3","","6","",""
"Dark Depths","","M","910","4.82","98","","70","10.9%","","12","","20","","32","","38","",""
"Fabled Passage","","M","609","3.22","163","","1076","95.0%","57.4%","196","","262","","458","","618","59.7%",""
"Sunbaked Canyon","","M","829","4.44","134","","589","65.1%","54.8%","93","","140","","233","","355","",""
"Tarnished Citadel","","M","1065","6.08","122","","239","26.6%","","53","","58","","111","","128","",""
"Treetop Village","","M","668","3.79","134","","767","77.0%","55.5%","124","","181","","305","","458","",""
"Valakut, the Molten Pinnacle","","M","882","4.66","124","","194","22.3%","","36","","55","","91","","103","",""
